label,x_max,x_min,y_max,y_min,size,height,width,ratio
1.0,0.044853516,0.022753906,0.8053125,0.5872656,631.6034126846353,27.910003662109375,22.630001068115234,1.2333187072374228
1.0,0.5047656,0.49613282,0.64039063,0.57765627,70.98515980225056,8.029998779296875,8.839996337890625,0.9083712789425171
7.0,0.45725587,0.44713867,0.9689062,0.5523437,552.3960429809522,53.31999969482422,10.360015869140625,5.146710233682989
8.0,0.3469629,0.33661133,0.8675,0.5765625,394.74420465086587,37.23999786376953,10.600006103515625,3.513205322723203
7.0,0.50911134,0.5049414,0.6191406,0.53664064,45.09139582514763,10.55999755859375,4.27001953125,2.473056032018296
7.0,0.5157324,0.50963867,0.6273438,0.5267969,80.3086914550513,12.870002746582031,6.239990234375,2.0625036679838806
5.0,0.35228515,0.33466798,0.8725,0.67960936,445.4071015380323,24.69000244140625,18.03997802734375,1.3686270794777495
7.0,0.38773438,0.37995118,0.8160156,0.605625,214.6321353057865,26.93000030517578,7.970001220703125,3.3789204743434125
7.0,0.7124707,0.7078906,0.6929687,0.55390626,83.48202198790386,17.79999542236328,4.69000244140625,3.7953062167332545
5.0,0.6947461,0.68333983,1.0,0.7797656,329.25902204588056,28.19000244140625,11.67999267578125,2.41352911974499
1.0,0.28168947,0.22644532,1.0,0.6753906,2350.483976959251,41.55000305175781,56.57000732421875,0.7344882035037218
1.0,0.37511718,0.3214844,0.9842188,0.6696875,2211.0786292846315,40.26000213623047,54.91998291015625,0.7330665452334885
7.0,0.7788965,0.75950193,1.0,0.5800781,1067.4774932861328,53.75,19.86004638671875,2.706438794420183
7.0,0.47257814,0.466709,0.7575,0.6325,96.16015625,16.0,6.010009765625,2.662225291465248
7.0,0.0746582,0.07055664,0.69789064,0.60515624,49.853975311270915,11.870002746582031,4.1999969482421875,2.8261931836759904
6.0,0.097871095,0.092177734,0.783125,0.6202344,121.55552928161342,20.849998474121094,5.8300018310546875,3.576327946083884
6.0,0.10357422,0.098115236,0.7928125,0.6191406,124.26563735655509,22.230003356933594,5.589996337890625,3.9767473918099285
1.0,0.025195312,0.015722657,0.6078125,0.49820313,136.0910091056794,14.03000259399414,9.69999885559082,1.4463921906452206
1.0,0.68780273,0.6500293,0.8035156,0.5284375,1361.9225067016669,35.209999084472656,38.67999267578125,0.9102897040236188
7.0,0.37691405,0.3707715,0.93921876,0.6544531,229.26972788991407,36.45000457763672,6.28997802734375,5.794933530638979
1.0,0.5121094,0.49902344,0.73664063,0.6058594,224.31638006586581,16.73999786376953,13.4000244140625,1.2492512958559938
1.0,0.015410156,0.0,0.78296876,0.52804685,514.9014683376299,32.6300048828125,15.779999732971191,2.067807695499159
7.0,0.07107422,0.06702148,0.59085935,0.49578124,50.50551097106654,12.169998168945312,4.150001525878906,2.9325286010269345
8.0,0.9958984,0.98697263,0.8502344,0.5071094,401.42942662350833,43.91999816894531,9.1400146484375,4.8052437395659435
8.0,0.97574216,0.97057617,0.63875,0.4915625,99.66320702200755,18.840003967285156,5.28997802734375,3.561452215850746
1.0,0.50992185,0.47763672,0.99296874,0.72078127,1151.8091306397691,34.839996337890625,33.059967041015625,1.053842440153271
1.0,0.5173828,0.48867187,0.8738281,0.68359375,715.889806518564,24.349998474121094,29.399993896484375,0.8282314125593354
1.0,0.5348145,0.5084473,0.74015623,0.540625,689.5800247192383,25.540000915527344,27.0,0.945925959834346
1.0,0.5749805,0.55614257,0.7260156,0.6109375,284.14234014600515,14.730003356933594,19.2900390625,0.7636067148028147
1.0,0.6186621,0.59839845,0.71867186,0.6083594,292.9898986816406,14.1199951171875,20.75,0.6804816923945783
1.0,0.6491504,0.6323828,0.70804685,0.5975,242.95515338145196,14.149993896484375,17.16998291015625,0.824112287736436
1.0,0.15597656,0.1328125,0.6569531,0.5353906,369.0831610839814,15.55999755859375,23.720001220703125,0.6559863725897612
1.0,0.06589844,0.056884766,0.60046875,0.51453125,101.53003692626953,11.0,9.230003356933594,1.1917655470554929
1.0,0.13801758,0.115917966,0.659375,0.5257813,386.97304896544665,17.099998474121094,22.6300048828125,0.7556338835396607
7.0,0.057861328,0.05314453,0.6015625,0.49265626,67.33021889190422,13.939998626708984,4.8300018310546875,2.8861269859322234
8.0,0.2647754,0.2597754,0.58585936,0.5174219,44.85112910158932,8.759994506835938,5.1199951171875,1.7109380587940777
8.0,0.39399415,0.38789064,0.5648438,0.47078124,75.25002956390381,12.04000473022461,6.25,1.9264007568359376
7.0,0.51293945,0.507959,0.70203125,0.59148437,72.1646623229608,14.150001525878906,5.0999755859375,2.7745233849541635
7.0,0.52016604,0.514873,0.6961719,0.5875781,75.33861911017448,13.900001525878906,5.4200439453125,2.5645551338933807
5.0,0.584541,0.57038087,0.7041406,0.5925781,207.0599822998047,14.279998779296875,14.5,0.9848275020204741
1.0,0.06825195,0.025644531,1.0,0.60375,2212.9135139526334,50.720001220703125,43.62999725341797,1.1625029661611936
1.0,0.12836914,0.10408203,0.79828125,0.6365625,514.8088230285794,20.699996948242188,24.8699951171875,0.8323281468574374
1.0,0.16623047,0.14482422,0.715625,0.57421875,396.7519334106473,18.099998474121094,21.919998168945312,0.8257299263721599
7.0,0.40360352,0.39924803,0.75,0.58734375,92.85765610961244,20.81999969482422,4.46002197265625,4.668138368480834
1.0,0.41542968,0.33617187,1.0,0.75703126,2524.075990051264,31.099998474121094,81.16000366210938,0.38319365538225747
1.0,0.49067384,0.466416,0.91679686,0.62546873,926.2846241821535,37.290000915527344,24.84002685546875,1.5012061433145198
1.0,0.4953418,0.4852246,0.665625,0.58304685,109.50536457519047,10.569999694824219,10.360015869140625,1.0202686779958583
1.0,0.48131835,0.47186524,0.6321875,0.5646875,83.63513081055135,8.639999389648438,9.67999267578125,0.8925625957615844
7.0,0.91484374,0.9081055,0.6382812,0.5125,111.08939987188205,16.099998474121094,6.89996337890625,2.3333454962007627
7.0,0.9095508,0.9037598,0.66828126,0.5142969,116.880150210578,19.709999084472656,5.92999267578125,3.3237813538911247
7.0,0.9044824,0.8978906,0.7146094,0.4809375,201.89249897003174,29.90999984741211,6.75,4.431111088505498
5.0,0.65510744,0.63932616,0.79476565,0.584375,435.18972539063543,26.93000030517578,16.1600341796875,1.666456890235151
5.0,0.63773435,0.61978513,0.7714844,0.6209375,354.18263239134103,19.269996643066406,18.3800048828125,1.048421736878109
5.0,0.6141602,0.5967871,0.7486719,0.5985938,341.7466341033578,19.209999084472656,17.7900390625,1.0798177011857057
1.0,0.9720996,0.9299023,1.0,0.5914062,2259.884281036444,52.30000305175781,43.21002197265625,1.2103674255211858
1.0,0.68232423,0.66881835,0.728125,0.5974219,231.37612682487816,16.729995727539062,13.83001708984375,1.2096872779589658
7.0,0.37291992,0.36534178,0.6640625,0.5275,135.64499675296247,17.480003356933594,7.760009765625,2.2525749174138743
5.0,0.37256837,0.36575195,0.7928906,0.66898435,110.70297850342467,15.860000610351562,6.980010986328125,2.272202814783076
7.0,0.8602832,0.84737307,0.9958594,0.5655469,728.1560105346143,55.08000183105469,13.219970703125,4.16642389517812
7.0,0.8490625,0.8386133,1.0,0.58796877,564.318620941136,52.73999786376953,10.70001220703125,4.928966139787461
1.0,0.98532224,0.9654492,0.8950781,0.54375,915.1384269408882,44.970001220703125,20.3499755859375,2.209830720965526
7.0,0.7203125,0.7163086,0.6990625,0.5555469,75.31656277459115,18.37000274658203,4.0999755859375,4.480515154672939
1.0,0.6530566,0.6138477,0.9953125,0.6553125,1747.3265777891502,43.52000427246094,40.14996337890625,1.0839363379176883
